rank	   KS	accession	description
840	52935	U09196_at	1.1 kb mRNA upregulated in retinoic acid treated HL-60 neutrophilic cells
841	52914	D16581_at	"MTH1 MutT (E. coli) human homolog (8-oxo-7,8-dihydroguanosine triphosphatase)"
842	52755	X93499_at	RAB7 protein
843	52650	M27826_at	Endogenous retroviral protease mRNA
844	52439	L20298_at	"Transcription factor (CBFB) mRNA, 3' end"
845	52429	D50914_at	"KIAA0124 gene, partial cds"
846	52366	M31994_at	"ALDH1 Aldehyde dehydrogenase 1, soluble"
847	52263	AB000468_at	"Zinc finger protein, clone RES4-26"
848	52241	HG2874-HT3018_at	Ribosomal Protein L39 Homolog
849	52200	U52696_s_at	"GB DEF = Adrenal Creb-rp homolog (Creb-rp), and tenascin-X (XB), partial cds, mRNA"
850	52021	X87838_at	"CTNNB1 Catenin (cadherin-associated protein), beta 1 (88kD)"
851	51768	M27160_at	TYR Tyrosinase (oculocutaneous albinism IA)
852	51684	M97856_at	NASP Nuclear autoantigenic sperm protein (histone-binding)
853	51559	X17093_at	"HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, F ALPHA CHAIN PRECURSOR"
854	51327	U08021_at	Nicotinamide N-methyltransferase (NNMT) mRNA
855	51202	HG3044-HT3742_s_at	"Fibronectin, Alt. Splice 1"
856	50950	X16832_at	CTSH Cathepsin H
857	50509	X65867_at	ADENYLOSUCCINATE LYASE
858	50497	U41654_at	RagA protein
859	50465	D87442_at	"KIAA0253 gene, partial cds"
860	50414	U90904_at	Clone 23773 mRNA sequence
861	50404	X00274_at	"HLA CLASS II HISTOCOMPATIBILITY ANTIGEN, DR ALPHA CHAIN PRECURSOR"
862	50352	L20773_at	mRNA in the region near the btk gene involved in a-gamma-globulinemia
863	50320	X91504_at	TFCOUP2 Transcription factor COUP 2 (a.k.a. ARP1)
864	50256	AFFX-HUMRGE/M10098_5_at	AFFX-HUMRGE/M10098_5_at (endogenous control)
865	50205	U15174_at	Nip3 (NIP3) mRNA
866	50204	X85116_rna1_s_at	Epb72 gene exon 1
867	50195	X02419_rna1_s_at	UPA gene
868	50191	J04543_at	ANX7 Annexin VII (synexin)
869	50150	M97935_s_at	SIGNAL TRANSDUCER AND ACTIVATOR OF TRANSCRIPTION 1-ALPHA/BETA
870	50141	D79986_at	KIAA0164 gene
871	50069	M82809_at	ANX4 Annexin IV (placental anticoagulant protein II)
872	49973	U28686_at	Putative RNA binding protein RNPL mRNA
873	49962	Y00503_at	KRT19 Keratin 19
874	49910	M63180_at	TARS Threonyl-tRNA synthetase
875	49867	L47276_s_at	"GB DEF = (cell line HL-60) alpha topoisomerase truncated-form mRNA, 3'UTR"
876	49677	M92934_at	CTGF Connective tissue growth factor
877	49606	X73478_at	HPTPA mRNA
878	49396	L07548_at	ACY1 Aminoacylase 1
879	49364	Z22555_at	Encoding CLA-1 mRNA
880	49322	D42041_at	"KIAA0088 gene, partial cds"
881	49312	D31883_at	KIAA0059 gene
882	49186	L42572_at	Motor protein
883	49186	L40391_at	(clone s153) mRNA fragment
884	49081	U78678_at	"Thioredoxin mRNA, nuclear gene encoding mitochondrial protein"
885	49007	M84349_at	"CD59 CD59 antigen p18-20 (antigen identified by monoclonal antibodies 16.3A5, EJ16, EJ30, EL32 and G344)"
886	48881	AC002115_rna2_at	"F25451_2 gene extracted from Human DNA from overlapping chromosome 19 cosmids R31396, F25451, and R31076 containing COX6B and UPKA, genomic sequence"
887	48712	U26727_at	"CDKN2A Cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)"
888	48691	U39317_at	E2 ubiquitin conjugating enzyme UbcH5B (UBCH5B) mRNA
889	48567	D16469_at	"ORF, Xq terminal portion"
890	48545	L13761_rna1_at	"Dihydrolipoamide dehydrogenase gene, exon 14"
891	48407	M13755_at	"G1P2 Interferon, alpha-inducible protein (clone IFI-15K)"
892	48376	Y12711_at	Putative progesterone binding protein
893	48356	U37146_at	Silencing mediator of retinoid and thyroid hormone action (SMRT) mRNA
894	48346	J03069_rna1_at	MYCL2 gene
895	48345	M13194_at	"ERCC1 Excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence)"
896	48284	D17400_at	PTS 6-pyruvoyltetrahydropterin synthase
897	48263	L18960_at	EIF4C Eukaryotic translation initiation factor 4C (eIF-4C)
898	48241	X17025_at	Homolog of yeast IPP isomerase
899	48062	S74017_at	Nrf2
900	48053	X52142_at	CTPS CTP synthetase
901	47988	X99459_at	Sigma 3B protein
902	47978	M69181_at	"GB DEF = Nonmuscle myosin heavy chain-B (MYH10) mRNA, partial cds"
903	47885	Z48042_at	mRNA encoding GPI-anchored protein p137
904	47885	M64571_at	MAP4 Microtubule-associated protein 4
905	47830	X80199_at	MLN51 mRNA
906	47810	D87292_at	Rhodanese
907	47790	X98743_at	RNA helicase (Myc-regulated dead box protein)
908	47788	U89505_at	Hlark mRNA
909	47779	U58087_at	Hs-cul-1 mRNA
910	47652	U31384_at	G protein gamma-11 subunit mRNA
911	47549	S82447_s_at	GCN5-like 1
912	47537	U18009_at	Chromosome 17q21 mRNA clone LF113
913	47444	L08096_s_at	CD70 CD70 antigen (CD27 ligand)
914	47432	U20758_rna1_at	Osteopontin gene
915	47327	D83779_at	KIAA0195 gene
916	47286	X12794_at	GB DEF = V-erbA related ear-2 gene
917	47276	L37033_at	FK-506 binding protein homologue (FKBP38) mRNA
918	47232	U86782_at	GB DEF = 26S proteasome-associated pad1 homolog (POH1) mRNA
919	47212	D13643_at	KIAA0018 gene
920	47149	D50913_at	"KIAA0123 gene, partial cds"
921	47085	U12387_s_at	TPMT Thiopurine S-methyltransferase
922	47066	HG2797-HT2906_s_at	"Clathrin, Light Polypeptide B, Alt. Splice 2"
923	47022	D38551_at	KIAA0078 gene
924	46949	M55998_s_at	"GB DEF = Alpha-1 collagen type I gene, 3' end"
925	46898	X14448_at	ALPHA-GALACTOSIDASE A PRECURSOR
926	46811	D86983_at	"KIAA0230 gene, partial cds"
927	46801	S82470_at	BB1
928	46791	X99209_at	TNNC2 Troponin C2 (fast skeletal)
929	46770	D87017_cds3_at	C7 segment gene extracted from Human (lambda) DNA for immunoglobin light chain
930	46675	J00277_at	"(genomic clones lambda-[SK2-T2, HS578T]; cDNA clones RS-[3,4, 6]) c-Ha-ras1 proto-oncogene, complete coding sequence"
931	46666	D87438_at	"KIAA0251 gene, partial cds"
932	46645	D10511_at	ACAT1 Acetyl-Coenzyme A acetyltransferase 2 (acetoacetyl Coenzyme A thiolase)
933	46644	AB003177_at	Proteasome subunit p27
934	46615	X06956_at	TUBULIN ALPHA-4 CHAIN
935	46603	L41559_at	PCBD 6-pyruvoyl-tetrahydropterin synthase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1)
936	46594	HG3521-HT3715_at	Ras-Related Protein Rap1b
937	46572	M69023_at	Globin gene
938	46549	U03100_at	"CTNNA1 Catenin (cadherin-associated protein), alpha 1 (102kD)"
939	46540	X78687_at	G9 gene encoding sialidase
940	46507	U67092_s_at	"GB DEF = Ataxia-telangiectasia locus protein (ATM) gene, exons 1a, 1b, 2, 3 and 4, partial cds"
941	46487	U18291_at	CDC16Hs mRNA
942	46455	M30938_at	"ATP-DEPENDENT DNA HELICASE II, 86 KD SUBUNIT"
943	46392	D31887_at	"KIAA0062 gene, partial cds"
944	46341	L36818_at	INPPL1 Inositol polyphosphate phosphatase-like protein 1 (51C protein)
945	46320	D38549_at	"KIAA0068 gene, partial cds"
946	46288	M37721_at	PAM Peptidylglycine alpha-amidating monooxygenase
947	46256	X66364_at	mRNA PSSALRE for serine/threonine protein kinase
948	46246	X16396_at	MTHFD NAD-dependent methylene tetrahydrofolate dehydrogenase cyclohydrolase
949	46205	X89750_at	TGIF protein
950	46151	X70649_at	Cl.1042 mRNA of DEAD box protein family
951	46056	U30827_s_at	Splicing factor SRp40-1 (SRp40) mRNA
952	46027	M11717_rna1_at	Heat shock protein (hsp 70) gene
953	46026	U79287_at	Clone 23867 mRNA sequence
954	46025	Y00815_at	"PTPRF Protein tyrosine phosphatase, receptor type, f polypeptide"
955	46005	U79262_at	DHPS Deoxyhypusine synthase
956	45941	M58286_s_at	TNFR1 Tumor necrosis factor receptor 1 (55kD)
957	45900	M83667_rna1_s_at	NF-IL6-beta protein mRNA
958	45888	U56417_at	Lysophosphatidic acid acyltransferase-alpha mRNA
959	45879	D87071_at	KIAA0233 gene
960	45868	D80005_at	"KIAA0183 gene, partial cds"
961	45848	U51010_s_at	"GB DEF = Nicotinamide N-methyltransferase gene, exon 1 and 5' flanking region"
962	45836	L37043_at	"CSNK1E Casein kinase 1, epsilon"
963	45836	D16480_at	"HADHA Hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), alpha subunit"
964	45795	Z69030_s_at	"PPP2R4 Protein phosphatase 2A, regulatory subunit B' alpha-1"
965	45784	U07418_at	MLH1 DNA mismatch repair protein MLH1
966	45752	S72024_s_at	EIF5A Eukaryotic translation initiation factor 5A
967	45690	U32519_at	GAP SH3 binding protein mRNA
968	45679	D84294_at	TPRD
969	45647	D30755_at	VIM Vimentin
970	45596	X98260_at	"M-phase phosphoprotein, mpp11"
971	45544	HG162-HT3165_at	"Tyrosine Kinase, Receptor Axl, Alt. Splice 2"
972	45523	K03195_at	(HepG2) glucose transporter gene mRNA
973	45468	L08246_at	INDUCED MYELOID LEUKEMIA CELL DIFFERENTIATION PROTEIN MCL1
974	45386	D80012_at	"KIAA0190 gene, partial cds"
975	45364	M63483_at	MATRIN 3
976	45354	U91930_at	AP-3 complex delta subunit mRNA
977	45344	D50405_at	RPD3 protein
978	45332	M23114_at	"ATP2A2 ATPase, Ca++ transporting, cardiac muscle, slow twitch  2"
979	45289	HG2743-HT2846_s_at	"Caldesmon 1, Alt. Splice 4, Non-Muscle"
980	45269	L77701_at	COX17 mRNA
981	45217	U03735_f_at	MAGE-3 antigen (MAGE-3) gene
982	45216	U79274_at	Clone 23733 mRNA
983	45175	U43286_at	Selenophosphate synthetase 2 (SPS2) mRNA
984	45091	M96954_s_at	TIAL1 TIA1 cytotoxic granule-associated RNA-binding protein-like 1
985	45069	M11718_at	"COL5A2 Collagen, type V, alpha"
986	45049	D21235_at	HHR23A protein
987	45049	D86978_at	"KIAA0225 gene, partial cds"
988	44914	M86707_at	GLYCYLPEPTIDE N-TETRADECANOYLTRANSFERASE
989	44870	D42040_s_at	RING3 PROTEIN
990	44840	S79639_at	EXT1 Exostoses (multiple) 1
991	44840	U62531_at	"SLC4A2 Solute carrier family 4, anion exchanger, member 2 (erythrocyte membrane protein band 3-like 1)"
992	44839	D21063_at	"KIAA0030 gene, partial cds"
993	44787	X86779_at	FAST kinase
994	44776	HG1828-HT1857_at	"Nexin, Glia-Derived"
995	44755	X79536_at	HNRPA1 Heterogeneous nuclear ribonucleoprotein A1
996	44692	L20010_at	HCF1 gene related mRNA sequence
997	44680	X05855_s_at	EEF1G Translation elongation factor 1 gamma
998	44618	D49728_at	NAK1 mRNA for DNA binding protein
999	44588	U30999_at	"GB DEF = (memc) mRNA, 3'UTR"
1000	44546	D25216_at	KIAA0014 gene
1001	44461	M64098_at	High density lipoprotein binding protein (HBP) mRNA
1002	44461	D14043_at	PUTATIVE MUCIN CORE PROTEIN PRECURSOR 24
1003	44419	U34252_at	ALDH7 Aldehyde dehydrogenase 7 (NOTE: redefinition of symbol)
1004	44397	Z15115_at	TOP2B Topoisomerase (DNA) II beta (180kD)
1005	44389	X99325_at	Alpha-tubulin mRNA
1006	44294	L04490_at	"(clone CC6) NADH-ubiquinone oxidoreductase subunit mRNA, 3' end cds"
1007	44283	U35048_at	TSC-22 protein mRNA
1008	44272	Y07867_at	"Pirin, isolate 1"
1009	44231	M14949_at	RAS-RELATED PROTEIN R-RAS
1010	44179	AFFX-HUMISGF3A/M97935_3_at	AFFX-HUMISGF3A/M97935_3_at (endogenous control)
1011	44177	D14811_at	KIAA0110 gene
1012	44177	L32866_at	"Effector cell protease receptor-1 (EPR-1) gene, partial cds"
1013	44168	X97544_at	TIM17 preprotein translocase
1014	44135	L40401_at	"(clone zap128) mRNA, 3' end of cds"
1015	44053	D28364_at	"GB DEF = Annexin II, 5'UTR (sequence from the 5'cap to the start codon)"
1016	44052	L13939_s_at	Beta adaptin protein mRNA
1017	43885	AB002382_at	KIAA0384 gene
1018	43873	M62831_at	Transcription factor ETR101 mRNA
1019	43842	U89606_at	Pyridoxal kinase mRNA
1020	43800	X94754_at	Yeast methionyl-tRNA synthetase homologue
1021	43799	D63481_at	"KIAA0147 gene, partial cds"
1022	43747	X75091_s_at	SET PROTEIN
1023	43738	S80343_at	RARS Arginyl-tRNA synthetase
1024	43716	J04031_at	MTHFD Methylenetetrahydrofolate dehydrogenase- methenyltetrahydrofolate cyclohydrolase-formyltetrahydrofolate synthetase
1025	43685	U62136_at	"Putative enterocyte differentiation promoting factor mRNA, partial cds"
1026	43684	U36787_at	Putative holocytochrome c-type synthetase mRNA
1027	43674	L04270_at	LYMPHOTOXIN-BETA RECEPTOR PRECURSOR
1028	43663	D13636_at	KIAA0011 gene
1029	43465	Y12670_at	LEPR Leptin receptor
1030	43379	HG2566-HT4867_at	"Microtubule-Associated Protein Tau, Alt. Splice 5, Exon 4a"
1031	43368	L40027_at	Glycogen synthase kinase 3 mRNA
1032	43338	U52522_at	"Arfaptin 2, putative target protein of ADP-ribosylation factor, mRNA"
1033	43328	HG4638-HT5050_at	Spliceosomal Protein Sap 49
1034	43276	L41668_rna1_at	UDP-Galactose 4 epimerase (GALE) gene
1035	43275	U56418_at	Lysophosphatidic acid acyltransferase-beta mRNA
1036	43245	M34175_at	"CLAPB1 Clathrin-associated/assembly/adaptor protein, large, beta 1"
1037	43231	M13792_at	ADA Adenosine deaminase
1038	43223	X77794_at	Cyclin G1 mRNA
1039	43171	Z56281_at	Interferon regulatory factor 3
1040	43159	X89267_at	UROD Uroporphyrinogen decarboxylase
1041	43108	M95787_at	22kDa smooth muscle protein (SM22) mRNA
1042	43106	U94585_at	Requiem homolog (hsReq) mRNA
1043	43024	U07919_at	ALDH6 Aldehyde dehydrogenase 6 
1044	43024	D63486_at	KIAA0152 gene
1045	43013	U72514_at	C2f mRNA
1046	42991	U03398_at	Receptor 4-1BB ligand mRNA
1047	42959	U57877_at	"Integral membrane protein CII-3 mRNA, nuclear gene encoding mitochondrial protein"
1048	42929	AF000177_at	Sm-like protein CaSm (CaSm) mRNA
1049	42875	U11791_at	CCNH Cyclin H
1050	42815	L27624_s_at	TISSUE FACTOR PATHWAY INHIBITOR 2 PRECURSOR
1051	42814	L00352_at	LOW-DENSITY LIPOPROTEIN RECEPTOR PRECURSOR
1052	42749	L00058_at	MYC V-myc avian myelocytomatosis viral oncogene homolog
1053	42717	X63563_at	RPS13 RNA polymerase II polypeptide B (140 kD)
1054	42667	D31884_at	KIAA0063 gene
1055	42623	M62402_at	IGFBP6 Insulin-like growth factor binding protein 6
1056	42581	AF007875_at	"Dolichol monophosphate mannose synthase (DPM1) mRNA, partial cds"
1057	42560	X80818_at	"GRM4 Glutamate receptor, metabotropic 4"
1058	42508	D49387_at	"GB DEF = NADP dependent leukotriene b4 12-hydroxydehydrogenase, partial cds"
1059	42394	D86956_at	KIAA0201 gene
1060	42392	HG2639-HT2735_s_at	Single-Stranded Dna-Binding Protein Mssp-1
1061	42373	L40395_at	"(clone S20iii15) mRNA, 3' end of cds"
1062	42318	U72512_at	"GB DEF = B-cell receptor associated protein (hBAP) alternatively spliced mRNA, partial 3'UTR"
1063	42205	M84739_at	CALR Autoantigen calreticulin
1064	42163	L33930_s_at	CD24 signal transducer mRNA and 3' region
1065	42131	M74002_at	Arginine-rich nuclear protein mRNA
1066	42079	L13278_at	CRYZ Crystallin zeta (quinone reductase)
1067	42067	M22976_at	CYB5 Cytochrome b-5
1068	42057	M68864_at	ORF mRNA
1069	42015	X84709_at	Mediator of receptor-induced toxicity
1070	41901	U87459_at	Autoimmunogenic cancer/testis antigen NY-ESO-1 mRNA
1071	41846	M80254_at	"PEPTIDYL-PROLYL CIS-TRANS ISOMERASE, MITOCHONDRIAL PRECURSOR"
1072	41836	M31169_s_at	"GB DEF = Propionyl-CoA carboxylase beta-subunit (beta-PCC) gene, partial cds (mutant delta-ATC)"
1073	41731	HG1116-HT1116_at	"Proliferating-Cell Nucleolar Antigen, 120 Kda"
1074	41657	U84720_at	mRNA export protein Rae1 (RAE1) mRNA
1075	41657	U49436_at	EIF5 Eukaryotic translation initiation factor 5 (eIF5)
1076	41615	L40410_at	"Thyroid receptor interactor (TRIP3) mRNA, 3' end of cds"
1077	41575	Z30643_at	GB DEF = Chloride channel (putative) 2139bp
1078	41563	X53002_s_at	ITGB5 Integrin beta-5 subunit
1079	41553	X81788_at	DS-1 mRNA
1080	41531	U74612_at	Putative M phase phosphoprotein 2 (MPP2) mRNA
1081	41500	Z25521_s_at	"GB DEF = Integrin associated protein mRNA,"
1082	41436	D79996_at	KIAA0174 gene
1083	41426	D79206_s_at	"SDC4 Syndecan 4 (amphiglycan, ryudocan)"
1084	41374	X69433_at	"IDH2 Isocitrate dehydrogenase 2 (NADP+), mitochondrial"
1085	41373	U67963_at	Lysophospholipase homolog (HU-K5) mRNA
1086	41354	X79882_at	Lrp mRNA
1087	41322	HG2755-HT2862_at	T-Plastin
1088	41300	U38980_at	"PMS8 mRNA (yeast mismatch repair gene PMS1 homologue), partial cds (C-terminal region)"
1089	41300	HG651-HT4201_at	"Adducin, Alpha Subunit, Alt. Splice 2"
1090	41278	D86988_at	KIAA0221 gene
1091	41239	D64110_at	Tob family
1092	41237	D14878_at	Protein D123
1093	41132	X12953_at	"RAB2 RAB2, member RAS oncogene family"
1094	41028	L18877_f_at	MELANOMA-ASSOCIATED ANTIGEN 12
1095	41006	D00749_s_at	T-CELL ANTIGEN CD7 PRECURSOR
1096	40997	M28882_s_at	CELL SURFACE GLYCOPROTEIN MUC18 PRECURSOR
1097	40881	U77604_at	Microsomal glutathione S-transferase (GST-II) mRNA
1098	40817	X98001_at	Geranylgeranyl transferase II
1099	40776	D38555_at	KIAA0079 gene
1100	40609	D79999_at	"KIAA0177 gene, partial cds"
1101	40608	U89942_at	Lysyl oxidase-related protein (WS9-14) mRNA
1102	40546	X68277_at	Alpha-tubulin mRNA
1103	40544	L19779_at	Histone H2A.2 mRNA
1104	40492	L16991_at	DTYMK Deoxythymidylate kinase
1105	40483	AF009368_at	GB DEF = Luman mRNA
1106	40334	X83416_s_at	"PrP gene, exon 2"
1107	40210	U14588_at	Paxillin mRNA
1108	40179	L42176_at	(clone 35.3) DRAL mRNA
1109	40134	M34423_at	GLB1 Beta-D-galactosidase
1110	40040	L35546_at	"GLCLR Glutamate-cysteine ligase (gamma-glutamylcysteine synthetase), regulatory (30.8kD)"
1111	39988	Z68129_cds1_at	H-IDH gamma gene (NAD(H)-specific isocitrate dehydrogenase gamma-subunit precursor) extracted from H.sapiens IDH gamma gene and TRAP delta gene
1112	39863	U41767_s_at	Metargidin precursor mRNA
1113	39789	HG2981-HT3125_s_at	"Epican, Alt. Splice 1"
1114	39788	J00314_at	mRNA fragment encoding beta-tubulin. (from clone D-beta-1)
1115	39725	D29954_at	HYPOTHETICAL MYELOID CELL LINE PROTEIN 6
1116	39715	D83004_at	Epidermoid carcinoma mRNA for ubiquitin-conjugating enzyme E2 similar to Drosophila bendless gene product
1117	39683	U41766_s_at	Metalloprotease/disintegrin/cysteine-rich protein precursor (MDC9) mRNA
1118	39652	U79260_at	Clone 23745 mRNA
1119	39631	AF006041_at	"Fas-binding protein (DAXX) mRNA, partial cds"
1120	39620	X73358_s_at	HAES-1 mRNA
1121	39431	X82103_at	Beta-COP
1122	39401	X80692_at	ERK3 protein kinase mRNA
1123	39379	Z32765_at	GB DEF = CD36 gene exon 15
1124	39316	Z23064_at	HNRPG Heterogeneous nuclear ribonucleoprotein G
1125	39243	U09937_rna1_s_at	Urokinase-type plasminogen activator receptor gene extracted from Human urokinase-type plasminogen receptor
1126	39148	X79200_at	"GB DEF = SYT-SSX, synovial sarcoma translocation junction"
1127	39064	M64673_at	HEAT SHOCK FACTOR PROTEIN 1
1128	39054	L13977_at	LYSOSOMAL PRO-X CARBOXYPEPTIDASE PRECURSOR
1129	39034	U61397_s_at	Ubiquitin-homology domain protein PIC1 mRNA
1130	38980	U19796_at	Melanoma antigen p15 mRNA
1131	38929	U41668_at	DGUOK Deoxyguanosine kinase
1132	38907	X80754_at	GTP-binding protein
1133	38897	M37984_rna1_at	Slow twitch skeletal muscle/cardiac muscle troponin C gene
1134	38876	U44772_at	Palmitoyl protein thioesterase mRNA
1135	38832	U31383_at	G protein gamma-10 subunit mRNA
1136	38813	X65784_s_at	"Cellular adhesion regulatory molecule [human, mRNA, 429 nt]"
1137	38772	U81556_at	Hypothetical protein A4 mRNA
1138	38707	M31724_at	PTPN1 Tyrosine phosphatase 1
1139	38676	D17547_at	"DCT Dopachrome tautomerase (dopachrome delta-isomerase, tyrosine-related protein 2)"
1140	38603	X13973_at	RNH Ribonuclease/angiogenin inhibitor
1141	38602	HG3415-HT3598_at	Poliovirus Receptor
1142	38581	U21858_at	HISTONE H3.3
1143	38550	L20688_at	GDP-dissociation inhibitor protein (Ly-GDI) mRNA
1144	38466	U23143_at	"Mitochondrial serine hydroxymethyltransferase gene, nuclear encoded mitochondrion protein"
1145	38433	HG3566-HT3769_at	Zinc Finger Protein (Gb:M88359)
1146	38413	L11284_at	DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 1
1147	38331	Z47087_at	"TCEB1L Transcription elongation factor B (SIII), polypeptide 1-like "
1148	38329	M11119_at	GB DEF = Endogenous retrovirus envelope region mRNA (PL1)
1149	38308	D38548_at	KIAA0076 gene
1150	38257	HG2238-HT2321_s_at	"Nuclear Mitotic Apparatus Protein 1, Alt. Splice Form 2"
1151	38235	X90846_at	MST1 Macrophage stimulating 1 (hepatocyte growth factor-like)
1152	38215	U90878_at	LIM domain protein CLP-36 mRNA
1153	38205	U28811_at	Cysteine-rich fibroblast growth factor receptor (CFR-1) mRNA
1154	38152	U56816_at	Kinase Myt1 (Myt1) mRNA
1155	38151	U62739_at	Branched-chain amino acid aminotransferase (ECA40) mRNA
1156	38120	U29607_at	EIF-2-associated p67 homolog mRNA
1157	38100	L24559_at	POLA DNA polymerase alpha subunit
1158	38087	U56833_at	"VHL binding protein-1 (VBP-1) mRNA, partial cds"
1159	38077	X59932_s_at	CSK C-src tyrosine kinase
1160	38046	D13988_at	Rab GDI mRNA
1161	38026	U03891_at	"Phorbolin I mRNA, partial cds"
1162	38013	J04164_at	RPS3 Ribosomal protein S3
1163	38004	X55885_at	ER LUMEN PROTEIN RETAINING RECEPTOR 1
1164	37941	M13452_s_at	LMNA Lamin A
1165	37869	U76366_s_at	TCOF1 Treacher Collins syndrome susceptibility protein
1166	37847	J04058_at	"ETFA Electron-transfer-flavoprotein, alpha polypeptide (glutaric aciduria II)"
1167	37846	U47105_at	H105e3 mRNA
1168	37627	J02854_at	20-kDa myosin light chain (MLC-2) mRNA
1169	37617	M60974_s_at	DDIT1 DNA-damage-inducible transcript 1
1170	37386	U83239_s_at	CC chemokine STCP-1 mRNA
1171	37363	D31846_at	AQP2 Aquaporin 2 (collecting duct)
1172	37300	M27396_s_at	ASPARAGINE SYNTHETASE
1173	37259	U48296_at	Protein tyrosine phosphatase PTPCAAX1 (hPTPCAAX1) mRNA
1174	37069	X70944_s_at	PTB-ASSOCIATED SPLICING FACTOR
1175	37069	U51432_at	Nuclear protein Skip mRNA
1176	37061	X17042_at	"PRG1 Proteoglycan 1, secretory granule"
1177	37027	U29656_at	"NME1 Non-metastatic cells 1, protein (NM23A) expressed in"
1178	36986	X62083_s_at	RING3 PROTEIN
1179	36966	D42085_at	KIAA0095 gene
1180	36911	D00860_at	PRPS1 Phosphoribosyl pyrophosphate synthetase subunit I
1181	36880	U01337_at	ARAF1 V-raf murine sarcoma 3611 viral oncogene homolog 1
1182	36735	L37042_at	"CSNK1A1 Casein kinase 1, alpha 1"
1183	36639	M80899_at	AHNAK AHNAK nucleoprotein (desmoyokin)
1184	36597	U86070_at	PMM1 Phosphomannomutase
1185	36567	U89278_at	Polyhomeotic 2 homolog (HPH2) mRNA
1186	36567	M74524_at	UBE2A Ubiquitin-conjugating enzyme E2A (RAD6 homolog)
1187	36566	U49070_at	Peptidyl-prolyl isomerase and essential mitotic regulator (PIN1) mRNA
1188	36565	D83777_at	KIAA0193 gene
1189	36555	X15882_at	"COL6A2 Collagen, type VI, alpha 2"
1190	36483	AB000460_at	"mRNA, clone RES4-22A"
1191	36449	S37730_s_at	"GB DEF = Insulin-like growth factor binding protein-2 [human, placenta, Genomic, 1342 nt, segment 4 of 4]"
1192	36439	X05360_at	"CDC2 Cell division cycle 2, G1 to S and G2 to M"
1193	36419	X13293_at	MYBL2 V-myb avian myeloblastosis viral oncogene homolog-like 2
1194	36408	X13967_at	LIF Leukemia inhibitory factor (cholinergic differentiation factor)
1195	36387	Y00451_s_at	"ALAS1 Aminolevulinate, delta-, synthase 1"
1196	36324	U16306_at	CSPG2 Chondroitin sulfate proteoglycan 2 (versican)
1197	36242	M61916_at	LAMB1 Laminin B1 chain
1198	36208	D78129_at	"GB DEF = Adult (34 year old) Male liver mRNA for squalene epoxidase, partial cds"
1199	36178	L38928_at	"5,10-methenyltetrahydrofolate synthetase mRNA"
1200	36033	U31382_at	G protein gamma-4 subunit mRNA
1201	35977	D43948_at	KIAA0097 gene
1202	35958	M23379_at	RASA1 GTPase-activating protein ras p21 (RASA)
1203	35893	M93425_at	"PTPN12 Protein tyrosine phosphatase, non-receptor type 12"
1204	35831	L06845_at	CARS Cysteinyl-tRNA synthetase
1205	35810	X74570_at	Gal-beta(1-3/1-4)GlcNAc alpha-2.3-sialyltransferase
1206	35769	U20499_at	Estrogen sulfotransferase mRNA
1207	35694	U94831_at	Multispanning membrane protein mRNA
1208	35630	U35451_at	Heterochromatin protein p25 mRNA
1209	35620	X17644_s_at	GSPT1 G1 to S phase transition 1
1210	35609	J04056_at	CBR Carbonyl reductase
1211	35589	X57348_s_at	SFN Stratifin
1212	35557	U15782_at	"CSTF3 Cleavage stimulation factor, 3' pre-RNA, subunit 3, 77kD"
1213	35547	X98801_at	Dynactin
1214	35536	D85815_at	DNA for rhoHP1
1215	35400	U79294_at	Clone 23748 mRNA
1216	35368	U05681_s_at	Proto-oncogene BCL3 gene
1217	35286	L11373_at	Protocadherin 43 mRNA for abbreviated PC43
1218	35212	D21852_at	"KIAA0029 gene, partial cds"
1219	35118	U50648_s_at	Interferon-inducible RNA-dependent protein kinase (Pkr) gene
1220	35064	U50327_s_at	Protein kinase C substrate 80K-H gene (PRKCSH)
1221	35032	D55696_at	Cysteine protease
1222	34939	U88898_r_at	"GB DEF = Endogenous retroviral H protease/integrase-derived ORF1 mRNA, and putative envelope protein mRNA, partial cds"
1223	34844	AF008445_at	Phospholipid scramblase mRNA
1224	34822	AD000092_cds7_s_at	"RAD23A gene (human RAD23A homolog) extracted from Homo sapiens DNA from chromosome 19p13.2 cosmids R31240, R30272 and R28549 containing the EKLF, GCDH, CRTC, and RAD23A genes, genomic sequence"
1225	34812	L40379_at	"GB DEF = Thyroid receptor interactor (TRIP10) mRNA, 3' end of cds"
1226	34727	U66879_at	Bcl-2 binding component 6 (bbc6) mRNA
1227	34698	D28137_at	RPS11 Ribosomal protein S11
1228	34696	L07758_at	IEF SSP 9502 mRNA
1229	34612	X68688_rna1_s_at	ZNF33B gene
1230	34603	U65011_at	Preferentially expressed antigen of melanoma (PRAME) mRNA
1231	34593	U72066_at	CtBP interacting protein CtIP (CtIP) mRNA
