@relation 'prostate_cancer_preprocessed-weka.filters.supervised.instance.Resample-B0.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-V-R1970,432,1181,1945,1226,1409,1292,1333,783,1282,1961,1642,1242,1749,409,1737,88,2035,1857,1362,939,133,2101,466,1804,331,497,292,152,1931,2136'

@attribute 41706_at numeric
@attribute 32598_at numeric
@attribute 37366_at numeric
@attribute 41468_at numeric
@attribute 37639_at numeric
@attribute 38634_at numeric
@attribute 38057_at numeric
@attribute 38291_at numeric
@attribute 35276_at numeric
@attribute 38028_at numeric
@attribute 41609_at numeric
@attribute 39756_g_at numeric
@attribute 37720_at numeric
@attribute 40415_at numeric
@attribute 32485_at numeric
@attribute 40282_s_at numeric
@attribute 1513_at numeric
@attribute 575_s_at numeric
@attribute 41013_at numeric
@attribute 38406_f_at numeric
@attribute 36174_at numeric
@attribute 1739_at numeric
@attribute 914_g_at numeric
@attribute 32806_at numeric
@attribute 40767_at numeric
@attribute 32052_at numeric
@attribute 33131_at numeric
@attribute 31791_at numeric
@attribute 1831_at numeric
@attribute 41338_at numeric
@attribute Class {normal,tumor}

@data
8.812774,3.704335,9,9,7.934735,4.155895,2.369603,3.636647,6.893518,3.04143,6.2774,9,9,3.713657,4.85627,2.307147,6.560986,7.816668,3.319078,6.250017,7.959106,9,7.025556,7.524278,3.882583,8.578488,6.496991,3.441218,2.406435,8.177637,tumor
6.933206,3.741044,9,5.872174,7.29299,5.359236,2.522392,3.398915,7.03727,3.373797,4.658105,9,8.912813,3.37222,5.570083,2.260535,4.416123,7.833512,3.241098,6.264573,7.480757,7.890543,3.212908,8.349854,3.437701,8.161415,6.417735,3.414438,2.512644,9,tumor
8.858599,3.336975,8.75988,7.95407,7.484177,4.191945,2.510282,3.500086,6.636365,3.337049,3.846966,8.847591,8.860657,3.620183,4.03487,2.34739,5.538848,6.664587,3.275695,7.846515,7.404478,8.014066,5.357417,7.609471,3.395784,6.560245,6.630375,3.432142,2.642427,8.482701,tumor
3.296976,4.033498,9,9,6.31228,3.947004,2.962058,3.779206,7.032864,3.44972,3.300417,8.883978,8.55304,3.279745,3.588007,2.378236,4.363484,6.355762,3.472512,6.87502,5.462236,6.484546,3.474448,7.035482,3.465567,6.388201,4.890011,4.924041,2.83475,8.06421,tumor
4.754247,3.684503,8.478248,8.040773,7.037658,5.244572,3.558614,3.363938,8.383797,3.263562,5.789102,9,8.740393,3.262421,3.650075,3.901513,5.831426,6.754562,4.240515,8.227399,7.271938,6.198513,5.413178,7.019148,4.472468,5.901268,6.587935,5.995752,2.548378,8.857581,tumor
8.31622,3.683322,7.341876,9,7.980764,4.982742,3.865417,3.396268,7.121896,3.177077,3.920303,9,9,5.806899,6.351241,3.527333,7.945759,8.082128,3.24332,6.523767,8.5452,7.328796,7.313709,8.324425,3.218815,6.985749,6.7235,4.09774,2.627767,8.560179,tumor
8.31622,3.683322,7.341876,9,7.980764,4.982742,3.865417,3.396268,7.121896,3.177077,3.920303,9,9,5.806899,6.351241,3.527333,7.945759,8.082128,3.24332,6.523767,8.5452,7.328796,7.313709,8.324425,3.218815,6.985749,6.7235,4.09774,2.627767,8.560179,tumor
6.459396,3.343053,6.965726,8.587796,7.407028,4.860603,3.230583,3.593403,7.762608,3.368193,3.286183,8.367306,8.413327,3.560913,3.51421,4.198411,6.47676,5.801517,4.597003,8.084247,6.753199,6.815442,4.150227,8.191164,3.502286,6.263708,6.820122,3.90052,2.635493,8.559294,tumor
7.590687,3.825611,7.352571,8.328249,8.257164,3.481479,2.603984,3.581331,6.864136,3.320539,3.113026,8.889198,9,6.518762,3.353183,2.311664,5.394024,6.713957,3.217007,5.033049,8.668953,8.815103,3.46308,8.453739,3.401828,7.834564,6.341217,3.367007,2.645676,7.848376,tumor
3.169782,6.960673,5.663137,3.557202,2.762064,7.293934,5.991533,6.146546,3.16039,4.077118,3.093208,6.509098,8.185024,3.121343,3.551036,5.101684,4.24486,4.292054,4.305647,7.98494,5.084996,4.68302,3.51244,6.25199,3.680502,6.510032,5.038361,3.757669,2.905938,9,tumor
6.783322,3.695723,8.983366,8.992764,6.718912,4.562831,2.861035,3.483578,8.487223,3.169369,3.921245,9,9,5.295308,3.502196,3.669976,4.685931,6.802966,3.004094,7.958695,7.019848,6.515485,4.208454,7.36452,3.334409,6.548811,6.897087,4.8851,2.532732,8.518752,tumor
5.539994,3.895528,8.462685,8.763477,7.135352,3.720501,2.828633,3.659555,7.06795,3.399995,3.224149,8.562913,9,3.206556,3.796016,1.871838,4.377962,6.329444,3.15745,6.553875,6.373144,8.291903,3.424885,7.229835,3.401976,5.67607,5.135047,4.187233,2.755066,8.599834,tumor
3.532372,3.775625,8.392421,7.243012,5.628496,5.650156,2.83917,3.42245,7.272242,3.363868,6.342258,8.741043,8.453911,3.087498,3.45062,4.746626,3.921098,6.05832,3.594366,7.77708,6.546294,6.979901,3.84886,7.474517,4.63086,6.05876,6.459308,4.088198,2.53037,8.336592,tumor
4.91992,4.407834,5.849666,4.251966,3.257647,3.998727,2.925669,3.86315,6.670559,3.539354,3.596128,7.858788,7.07831,3.214652,3.652079,2.3569,4.346343,5.311325,3.496349,6.202293,6.094696,5.427584,4.168526,7.279582,3.4853,7.337465,4.639361,3.692801,2.854831,8.643402,tumor
3.465348,4.240012,6.967309,6.907571,6.244101,4.219059,2.841298,3.989125,6.556651,3.474518,3.031154,9,8.870239,3.201973,3.398899,2.386826,4.354406,6.711653,3.496026,7.144466,6.202384,4.853164,3.372761,6.843971,3.633999,6.659418,4.899509,4.350507,2.742246,9,tumor
6.459396,3.343053,6.965726,8.587796,7.407028,4.860603,3.230583,3.593403,7.762608,3.368193,3.286183,8.367306,8.413327,3.560913,3.51421,4.198411,6.47676,5.801517,4.597003,8.084247,6.753199,6.815442,4.150227,8.191164,3.502286,6.263708,6.820122,3.90052,2.635493,8.559294,tumor
